Reported Year,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children
2015,2,6,2,88,1,2,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,14,6,14,36,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,1,1
2015,1,6,1,14,1,1,1
2015,5,6,5,25,1,1,1
2015,2,6,2,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,5,6,5,14,1,1,1
2015,15,6,15,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,3,6,3,14,1,3,1
2015,1,6,1,19,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,22,22,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,18,6,18,14,1,17,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,1,1,14,1,1,1
2015,8,6,8,14,1,1,1
2015,1,6,1,14,1,1,1
2015,17,8,25,454,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,60,60,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,1,1
2015,3,6,3,117,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,0,14,1,1,1
2015,1,6,0,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,3,3,14,1,2,1
2015,1,6,1,9,1,1,1
2015,1,20,21,86,1,21,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,8,49,57,14,1,1,1
2015,1,6,1,14,1,1,1
2015,8,2,10,10,1,1,1
2015,3,0,3,14,1,1,1
2015,3,33,36,13,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,7,2,9,6,1,1,1
2015,29,6,29,76,1,29,1
2015,1,307,307,9,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,12,6,12,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,418,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,1,1
2015,1,6,1,1,1,1,1
2015,3,6,3,14,1,1,1
2015,1,6,1,14,1,1,1
2015,26,6,26,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,0,1,3,0,1,1
2015,1,6,1,14,1,1,1
2015,5,6,5,16,1,1,1
2015,1,6,1,14,1,1,1
2015,2,0,2,2,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
